No menu file specified
 =========== Summary of results ==========
 There were 3564 L1A out of 3564 events (100.0%)

 Triggers with non-zero accepts
	 bit	 L1A
	 1 	 1779
	 2 	 3564
	 3 	 1779
	 4 	 358
	 5 	 3559
	 6 	 1779
	 7 	 3559
	 8 	 3559
	 9 	 3559
	 10 	 285
	 11 	 404
	 12 	 3431
	 13 	 232
	 14 	 3559
	 15 	 3375
	 16 	 3537
	 17 	 3349
	 18 	 2558
	 19 	 1338
	 20 	 551
	 21 	 356
	 22 	 3558
	 23 	 2532
	 24 	 219
	 25 	 33
	 26 	 3551
	 27 	 302
	 28 	 3244
	 29 	 3365
	 30 	 3227
	 31 	 3559
	 32 	 3249
	 33 	 3329
	 34 	 1886
	 35 	 247
	 36 	 918
	 37 	 83
	 38 	 15
	 39 	 2604
	 40 	 3559
	 41 	 3559
	 42 	 3557
	 43 	 3552
	 44 	 3252
	 45 	 3559
	 46 	 3559
	 47 	 3558
	 48 	 1488
	 49 	 250
	 50 	 404
	 51 	 199
	 52 	 285
	 53 	 213
	 54 	 344
	 55 	 178
	 56 	 151
	 57 	 1919
	 58 	 1389
	 59 	 978
	 60 	 536
	 61 	 3559
	 62 	 3559
	 63 	 3559
	 64 	 3558
	 65 	 213
	 66 	 404
	 67 	 391
	 68 	 382
	 70 	 1622
	 71 	 3519
	 72 	 237
	 73 	 188
	 74 	 213
	 75 	 13
	 76 	 232
	 77 	 382
	 78 	 427
	 80 	 15
	 81 	 404
	 82 	 3559
	 83 	 2872
	 84 	 315
	 85 	 222
	 86 	 1
	 87 	 1
	 88 	 3559
	 89 	 3559
	 90 	 3559
	 91 	 841
	 92 	 1171
	 93 	 1242
	 94 	 1044
	 96 	 1119
	 97 	 2653
	 98 	 2395
	 99 	 2246
	 100 	 1558
	 101 	 2322
	 103 	 13
	 104 	 597
